ID de transacción,Fecha,ID de cliente,Género,Edad,Categoría de producto,Cantidad,Precio por unidad,Importe total
55,2023-10-10,CUST055,Masculino,31,Belleza,4,30,120
56,2023-05-31,CUST056,Femenino,26,Ropa,3,300,900
57,2023-11-18,CUST057,Femenino,63,Belleza,1,30,30
58,2023-11-13,CUST058,Masculino,18,Ropa,4,300,1200
59,2023-07-05,CUST059,Masculino,62,Ropa,1,50,50
60,2023-10-23,CUST060,Masculino,30,Belleza,3,50,150
61,2023-04-09,CUST061,Masculino,21,Belleza,4,50,200
62,2023-12-27,CUST062,Masculino,18,Belleza,2,50,100
63,2023-02-05,CUST063,Masculino,57,Electrónica,2,25,50
64,2023-01-24,CUST064,Masculino,49,Ropa,4,25,100
65,2023-12-05,CUST065,Masculino,51,Electrónica,4,500,2000
66,2023-04-27,CUST066,Femenino,45,Electrónica,1,30,30
67,2023-05-29,CUST067,Femenino,48,Belleza,4,300,1200
68,2023-02-10,CUST068,Masculino,25,Electrónica,1,300,300
69,2023-04-30,CUST069,Femenino,56,Belleza,3,25,75
70,2023-02-21,CUST070,Femenino,43,Ropa,1,300,300
71,2023-07-14,CUST071,Femenino,51,Belleza,4,25,100
72,2023-05-23,CUST072,Femenino,20,Electrónica,4,500,2000
73,2023-08-21,CUST073,Masculino,29,Electrónica,3,30,90
74,2023-11-22,CUST074,Femenino,18,Belleza,4,500,2000
75,2023-07-06,CUST075,Masculino,61,Belleza,4,50,200
76,2023-03-25,CUST076,Femenino,22,Electrónica,2,50,100
77,2023-07-09,CUST077,Femenino,47,Ropa,2,50,100
78,2023-07-01,CUST078,Femenino,47,Ropa,3,500,1500
79,2023-04-18,CUST079,Masculino,34,Belleza,1,300,300
80,2023-12-10,CUST080,Femenino,64,Ropa,2,30,60
81,2023-05-17,CUST081,Masculino,40,Electrónica,1,50,50
82,2023-12-26,CUST082,Femenino,32,Belleza,4,50,200
83,2023-12-16,CUST083,Masculino,54,Electrónica,2,50,100
84,2023-11-28,CUST084,Femenino,38,Electrónica,3,30,90
85,2023-02-06,CUST085,Masculino,31,Ropa,3,50,150
86,2023-11-08,CUST086,Masculino,19,Belleza,3,30,90
87,2023-11-22,CUST087,Femenino,28,Belleza,2,50,100
88,2023-03-29,CUST088,Masculino,56,Ropa,1,500,500
89,2023-10-01,CUST089,Femenino,55,Electrónica,4,500,2000
90,2023-05-06,CUST090,Femenino,51,Electrónica,1,30,30
91,2023-03-25,CUST091,Femenino,55,Electrónica,1,500,500
92,2023-08-25,CUST092,Femenino,51,Electrónica,4,30,120
93,2023-07-14,CUST093,Femenino,35,Belleza,4,500,2000
94,2023-05-19,CUST094,Femenino,47,Belleza,2,500,1000
95,2023-11-24,CUST095,Femenino,32,Ropa,2,30,60
96,2023-12-19,CUST096,Femenino,44,Ropa,2,300,600
97,2023-10-13,CUST097,Femenino,51,Belleza,2,500,1000
98,2023-04-23,CUST098,Femenino,55,Belleza,2,50,100
99,2023-12-17,CUST099,Femenino,50,Electrónica,4,300,1200
100,2023-06-16,CUST100,Masculino,41,Electrónica,1,30,30
101,2023-01-29,CUST101,Masculino,32,Ropa,2,300,600
102,2023-04-28,CUST102,Femenino,47,Belleza,2,25,50
103,2023-01-17,CUST103,Femenino,59,Ropa,1,25,25
104,2023-06-11,CUST104,Femenino,34,Belleza,2,500,1000
105,2023-07-25,CUST105,Femenino,22,Electrónica,1,500,500
106,2023-05-18,CUST106,Femenino,46,Ropa,1,50,50
107,2023-02-03,CUST107,Femenino,21,Ropa,4,300,1200
108,2023-04-19,CUST108,Femenino,27,Belleza,3,25,75
109,2023-10-18,CUST109,Femenino,34,Electrónica,4,500,2000
110,2023-06-11,CUST110,Masculino,27,Ropa,3,300,900
111,2023-04-19,CUST111,Femenino,34,Electrónica,3,500,1500
112,2023-12-02,CUST112,Masculino,37,Ropa,3,500,1500
113,2023-09-13,CUST113,Femenino,41,Electrónica,2,25,50
114,2023-07-22,CUST114,Femenino,22,Belleza,4,25,100
115,2023-11-26,CUST115,Masculino,51,Ropa,3,500,1500
116,2023-08-23,CUST116,Femenino,23,Ropa,1,30,30
117,2023-03-15,CUST117,Masculino,19,Electrónica,2,500,1000
118,2023-05-16,CUST118,Femenino,30,Electrónica,4,500,2000
119,2023-03-13,CUST119,Femenino,60,Ropa,3,50,150
120,2023-05-07,CUST120,Masculino,60,Belleza,1,50,50
121,2023-10-15,CUST121,Femenino,28,Electrónica,4,50,200
122,2023-10-03,CUST122,Masculino,64,Electrónica,4,30,120
123,2023-05-15,CUST123,Femenino,40,Electrónica,2,30,60
124,2023-10-27,CUST124,Masculino,33,Ropa,4,500,2000
125,2023-08-08,CUST125,Masculino,48,Ropa,2,50,100
126,2023-10-26,CUST126,Femenino,28,Ropa,3,30,90
127,2023-07-24,CUST127,Femenino,33,Ropa,2,25,50
128,2023-07-05,CUST128,Masculino,25,Belleza,1,500,500
129,2023-04-23,CUST129,Femenino,21,Belleza,2,300,600
130,2023-03-12,CUST130,Femenino,57,Ropa,1,500,500
131,2023-09-18,CUST131,Femenino,21,Belleza,2,300,600
132,2023-09-10,CUST132,Masculino,42,Electrónica,4,50,200
133,2023-02-16,CUST133,Masculino,20,Electrónica,3,300,900
134,2023-01-25,CUST134,Masculino,49,Electrónica,1,50,50
135,2023-02-26,CUST135,Masculino,20,Ropa,2,25,50
136,2023-03-20,CUST136,Masculino,44,Electrónica,2,300,600
137,2023-11-18,CUST137,Masculino,46,Belleza,2,500,1000
138,2023-03-23,CUST138,Masculino,49,Ropa,4,50,200
139,2023-12-15,CUST139,Masculino,36,Belleza,4,500,2000
140,2023-08-05,CUST140,Masculino,38,Electrónica,1,30,30
141,2023-11-02,CUST141,Femenino,22,Electrónica,1,50,50
142,2023-02-02,CUST142,Masculino,35,Electrónica,4,300,1200
143,2023-07-17,CUST143,Femenino,45,Ropa,1,50,50
144,2023-07-15,CUST144,Femenino,59,Belleza,3,500,1500
145,2023-11-02,CUST145,Femenino,39,Ropa,3,25,75
146,2023-08-28,CUST146,Masculino,38,Ropa,4,50,200
147,2023-09-28,CUST147,Masculino,23,Electrónica,1,300,300
148,2023-05-09,CUST148,Masculino,18,Ropa,2,30,60
149,2023-10-11,CUST149,Masculino,22,Ropa,3,25,75
150,2023-01-06,CUST150,Femenino,58,Electrónica,4,30,120
151,2023-12-15,CUST151,Masculino,29,Ropa,1,50,50
152,2023-02-28,CUST152,Masculino,43,Electrónica,4,500,2000
153,2023-12-16,CUST153,Masculino,63,Electrónica,2,500,1000
154,2023-10-02,CUST154,Masculino,51,Electrónica,3,300,900
155,2023-05-17,CUST155,Masculino,31,Electrónica,4,500,2000
156,2023-11-25,CUST156,Femenino,43,Ropa,4,25,100
157,2023-06-24,CUST157,Masculino,62,Electrónica,4,500,2000
158,2023-02-27,CUST158,Femenino,44,Electrónica,2,300,600
159,2023-05-31,CUST159,Masculino,26,Ropa,4,50,200
160,2023-08-11,CUST160,Femenino,43,Ropa,2,50,100
161,2023-03-22,CUST161,Masculino,64,Belleza,2,500,1000
162,2023-08-21,CUST162,Masculino,39,Ropa,2,30,60
163,2023-01-02,CUST163,Femenino,64,Ropa,3,50,150
164,2023-05-15,CUST164,Femenino,47,Belleza,3,500,1500
165,2023-09-14,CUST165,Femenino,60,Ropa,4,300,1200
166,2023-04-02,CUST166,Masculino,34,Ropa,4,500,2000
167,2023-09-17,CUST167,Femenino,43,Ropa,3,50,150
168,2023-02-24,CUST168,Masculino,53,Ropa,1,300,300
169,2023-11-17,CUST169,Masculino,18,Belleza,3,500,1500
170,2023-06-02,CUST170,Femenino,25,Ropa,2,25,50
171,2023-11-24,CUST171,Femenino,52,Ropa,3,300,900
172,2023-09-17,CUST172,Masculino,32,Belleza,2,25,50
173,2023-11-08,CUST173,Masculino,64,Electrónica,4,30,120
174,2023-04-12,CUST174,Femenino,39,Belleza,1,300,300
175,2023-03-20,CUST175,Femenino,31,Electrónica,4,25,100
176,2023-07-11,CUST176,Femenino,43,Belleza,2,50,100
177,2023-03-24,CUST177,Masculino,45,Belleza,2,50,100
178,2023-10-04,CUST178,Masculino,40,Ropa,2,30,60
179,2023-09-29,CUST179,Masculino,31,Electrónica,1,300,300
180,2023-01-01,CUST180,Masculino,41,Ropa,3,300,900
181,2023-11-03,CUST181,Masculino,19,Electrónica,4,300,1200
182,2023-06-15,CUST182,Masculino,62,Belleza,4,30,120
183,2023-09-08,CUST183,Femenino,43,Belleza,3,300,900
184,2023-01-10,CUST184,Masculino,31,Electrónica,4,50,200
185,2023-02-27,CUST185,Masculino,24,Ropa,1,25,25
186,2023-07-05,CUST186,Masculino,20,Ropa,4,50,200
187,2023-06-07,CUST187,Femenino,64,Ropa,2,50,100
188,2023-05-03,CUST188,Masculino,40,Ropa,3,25,75
189,2023-01-30,CUST189,Masculino,63,Belleza,1,50,50
190,2023-05-04,CUST190,Femenino,60,Belleza,3,30,90
191,2023-10-18,CUST191,Masculino,64,Belleza,1,25,25
192,2023-02-10,CUST192,Masculino,62,Belleza,2,50,100
193,2023-02-13,CUST193,Masculino,35,Belleza,3,500,1500
194,2023-09-06,CUST194,Masculino,55,Ropa,4,50,200
195,2023-02-05,CUST195,Masculino,52,Ropa,1,30,30
196,2023-09-30,CUST196,Femenino,32,Ropa,3,300,900
197,2023-03-06,CUST197,Femenino,42,Ropa,4,50,200
198,2023-03-07,CUST198,Femenino,54,Belleza,3,300,900
199,2023-12-04,CUST199,Masculino,45,Belleza,3,500,1500
200,2023-09-01,CUST200,Masculino,27,Belleza,3,50,150
201,2023-10-09,CUST201,Masculino,56,Electrónica,1,25,25
202,2023-03-26,CUST202,Femenino,34,Ropa,4,300,1200
203,2023-05-16,CUST203,Masculino,56,Ropa,2,500,1000
204,2023-09-28,CUST204,Masculino,39,Belleza,1,25,25
205,2023-11-07,CUST205,Femenino,43,Ropa,1,25,25
206,2023-08-05,CUST206,Masculino,61,Ropa,1,25,25
207,2023-04-19,CUST207,Femenino,42,Belleza,2,25,50
208,2023-10-04,CUST208,Femenino,34,Electrónica,4,50,200
209,2023-12-20,CUST209,Femenino,30,Electrónica,4,50,200
210,2023-04-13,CUST210,Masculino,37,Electrónica,4,50,200
211,2024-01-01,CUST211,Masculino,42,Belleza,3,500,1500
212,2023-06-09,CUST212,Masculino,21,Ropa,3,500,1500
213,2023-07-24,CUST213,Masculino,27,Belleza,3,500,1500
214,2023-12-10,CUST214,Masculino,20,Belleza,2,30,60
215,2023-11-29,CUST215,Masculino,58,Ropa,3,500,1500
216,2023-07-11,CUST216,Masculino,62,Electrónica,2,50,100
217,2023-08-13,CUST217,Femenino,35,Electrónica,4,50,200
218,2023-09-22,CUST218,Masculino,64,Belleza,3,30,90
219,2023-08-20,CUST219,Femenino,53,Electrónica,3,30,90
220,2023-03-03,CUST220,Masculino,64,Belleza,1,500,500
221,2023-05-07,CUST221,Masculino,39,Belleza,2,300,600
222,2023-04-26,CUST222,Masculino,51,Ropa,4,30,120
223,2023-02-02,CUST223,Femenino,64,Ropa,1,25,25
224,2023-06-23,CUST224,Femenino,25,Ropa,1,50,50
225,2023-01-11,CUST225,Femenino,57,Belleza,4,25,100
226,2023-10-29,CUST226,Femenino,61,Ropa,1,50,50
227,2023-10-11,CUST227,Masculino,36,Electrónica,2,50,100
228,2023-04-28,CUST228,Femenino,59,Electrónica,2,30,60
229,2023-10-29,CUST229,Masculino,58,Belleza,3,30,90
230,2023-04-23,CUST230,Masculino,54,Belleza,1,25,25
231,2023-01-04,CUST231,Femenino,23,Ropa,3,50,150
232,2023-02-06,CUST232,Femenino,43,Belleza,1,25,25
233,2023-12-29,CUST233,Femenino,51,Belleza,2,300,600
234,2023-11-20,CUST234,Femenino,62,Electrónica,2,25,50
235,2023-01-31,CUST235,Femenino,23,Electrónica,2,500,1000
236,2023-04-28,CUST236,Femenino,54,Ropa,1,25,25
237,2023-02-04,CUST237,Femenino,50,Belleza,2,500,1000
238,2023-01-17,CUST238,Femenino,39,Belleza,1,500,500
239,2023-06-19,CUST239,Masculino,38,Electrónica,3,500,1500
240,2023-02-06,CUST240,Femenino,23,Belleza,1,300,300
241,2023-09-21,CUST241,Femenino,23,Electrónica,3,25,75
242,2023-05-02,CUST242,Masculino,21,Ropa,1,25,25
243,2023-05-23,CUST243,Femenino,47,Electrónica,3,300,900
244,2023-12-09,CUST244,Masculino,28,Belleza,2,50,100
245,2023-09-06,CUST245,Masculino,47,Ropa,3,30,90
246,2023-04-20,CUST246,Femenino,48,Electrónica,2,25,50
247,2023-10-04,CUST247,Masculino,41,Electrónica,2,30,60
248,2023-03-09,CUST248,Masculino,26,Ropa,3,300,900
249,2023-10-20,CUST249,Masculino,20,Ropa,1,50,50
250,2023-10-23,CUST250,Masculino,48,Electrónica,1,50,50
251,2023-08-31,CUST251,Femenino,57,Belleza,4,50,200
252,2023-05-05,CUST252,Masculino,54,Electrónica,1,300,300
253,2023-08-31,CUST253,Femenino,53,Ropa,4,500,2000
254,2023-07-28,CUST254,Masculino,41,Electrónica,1,500,500
255,2023-04-08,CUST255,Masculino,48,Ropa,1,30,30
256,2023-02-18,CUST256,Masculino,23,Ropa,2,500,1000
257,2023-02-19,CUST257,Masculino,19,Belleza,4,500,2000
258,2023-12-04,CUST258,Femenino,37,Ropa,1,50,50
259,2023-08-09,CUST259,Femenino,45,Ropa,4,50,200
260,2023-07-01,CUST260,Masculino,28,Belleza,2,30,60
261,2023-08-05,CUST261,Masculino,21,Ropa,2,25,50
262,2023-07-30,CUST262,Femenino,32,Belleza,4,30,120
263,2023-08-28,CUST263,Masculino,23,Belleza,2,30,60
264,2023-01-28,CUST264,Masculino,47,Ropa,3,300,900
265,2023-12-11,CUST265,Masculino,55,Ropa,3,300,900
266,2023-12-01,CUST266,Femenino,19,Electrónica,2,30,60
267,2023-11-27,CUST267,Femenino,32,Belleza,3,30,90
268,2023-02-20,CUST268,Femenino,28,Electrónica,1,30,30
269,2023-02-01,CUST269,Masculino,25,Ropa,4,500,2000
270,2023-07-26,CUST270,Masculino,43,Electrónica,1,300,300
271,2023-06-23,CUST271,Femenino,62,Belleza,4,30,120
272,2023-02-25,CUST272,Femenino,61,Electrónica,2,50,100
273,2023-05-08,CUST273,Femenino,22,Belleza,1,50,50
274,2023-04-09,CUST274,Femenino,23,Ropa,2,500,1000
275,2023-04-08,CUST275,Masculino,43,Ropa,2,500,1000
276,2023-10-02,CUST276,Femenino,21,Belleza,4,25,100
277,2023-08-18,CUST277,Masculino,36,Ropa,4,25,100
278,2023-03-13,CUST278,Femenino,37,Ropa,4,25,100
279,2023-08-05,CUST279,Masculino,50,Ropa,1,500,500
280,2023-04-04,CUST280,Femenino,37,Ropa,3,500,1500
281,2023-05-23,CUST281,Femenino,29,Belleza,4,500,2000
282,2023-08-25,CUST282,Femenino,64,Electrónica,4,50,200
283,2023-05-08,CUST283,Femenino,18,Electrónica,1,500,500
284,2023-02-08,CUST284,Masculino,43,Ropa,4,50,200
285,2023-08-15,CUST285,Femenino,31,Electrónica,1,25,25
286,2023-10-09,CUST286,Masculino,55,Electrónica,2,25,50
287,2023-02-20,CUST287,Masculino,54,Ropa,4,25,100
288,2023-01-26,CUST288,Masculino,28,Ropa,4,30,120
289,2023-11-30,CUST289,Masculino,53,Electrónica,2,30,60
290,2023-10-04,CUST290,Femenino,30,Belleza,2,300,600
291,2023-01-08,CUST291,Masculino,60,Ropa,2,300,600
292,2023-02-17,CUST292,Masculino,20,Belleza,4,300,1200
293,2023-05-02,CUST293,Masculino,50,Electrónica,3,30,90
294,2023-03-27,CUST294,Femenino,23,Ropa,3,30,90
295,2023-07-28,CUST295,Femenino,27,Belleza,3,300,900
296,2023-09-06,CUST296,Femenino,22,Ropa,4,300,1200
297,2023-09-04,CUST297,Femenino,40,Electrónica,2,500,1000
298,2023-04-20,CUST298,Masculino,27,Belleza,4,300,1200
299,2023-07-25,CUST299,Masculino,61,Electrónica,2,500,1000
300,2023-01-31,CUST300,Femenino,19,Electrónica,4,50,200
301,2023-03-26,CUST301,Masculino,30,Ropa,4,30,120
302,2023-07-14,CUST302,Masculino,57,Belleza,2,300,600
303,2023-01-02,CUST303,Masculino,19,Electrónica,3,30,90
304,2023-07-19,CUST304,Femenino,37,Electrónica,2,30,60
305,2023-05-16,CUST305,Femenino,18,Belleza,1,30,30
306,2023-08-21,CUST306,Masculino,54,Electrónica,1,50,50
307,2023-05-27,CUST307,Femenino,26,Electrónica,2,25,50
308,2023-08-05,CUST308,Femenino,34,Belleza,4,300,1200
309,2023-12-23,CUST309,Femenino,26,Belleza,1,25,25
310,2023-10-12,CUST310,Femenino,28,Belleza,1,25,25
311,2023-12-05,CUST311,Femenino,32,Belleza,4,25,100
312,2023-09-07,CUST312,Masculino,41,Ropa,4,30,120
313,2023-03-21,CUST313,Femenino,55,Belleza,3,500,1500
314,2023-04-08,CUST314,Masculino,52,Ropa,4,30,120
315,2023-06-01,CUST315,Masculino,47,Ropa,2,30,60
316,2023-04-22,CUST316,Femenino,48,Ropa,2,25,50
317,2023-01-30,CUST317,Masculino,22,Electrónica,3,30,90
318,2023-10-24,CUST318,Masculino,61,Ropa,1,25,25
319,2023-10-05,CUST319,Masculino,31,Ropa,1,500,500
320,2023-02-01,CUST320,Femenino,28,Electrónica,4,300,1200
321,2023-06-10,CUST321,Femenino,26,Electrónica,2,25,50
322,2023-01-30,CUST322,Masculino,51,Electrónica,1,500,500
323,2023-01-26,CUST323,Femenino,29,Belleza,3,300,900
324,2023-10-27,CUST324,Femenino,52,Electrónica,3,50,150
325,2023-09-02,CUST325,Femenino,52,Electrónica,2,25,50
326,2023-09-15,CUST326,Femenino,18,Ropa,3,25,75
327,2023-09-29,CUST327,Masculino,57,Electrónica,3,50,150
328,2023-03-22,CUST328,Masculino,39,Belleza,2,50,100
329,2023-01-30,CUST329,Femenino,46,Electrónica,4,25,100
330,2023-09-18,CUST330,Femenino,25,Belleza,4,50,200
331,2023-02-11,CUST331,Masculino,28,Electrónica,3,30,90
332,2023-04-06,CUST332,Masculino,58,Electrónica,4,300,1200
333,2023-02-05,CUST333,Femenino,54,Electrónica,4,300,1200
334,2023-11-01,CUST334,Masculino,31,Electrónica,3,300,900
335,2023-02-04,CUST335,Femenino,47,Belleza,4,30,120
336,2023-12-12,CUST336,Femenino,52,Belleza,3,50,150
337,2023-05-01,CUST337,Masculino,38,Ropa,1,500,500
338,2023-07-26,CUST338,Masculino,54,Belleza,2,50,100
339,2023-03-03,CUST339,Femenino,22,Electrónica,2,25,50
340,2023-10-19,CUST340,Femenino,36,Ropa,4,300,1200
341,2023-05-07,CUST341,Masculino,31,Ropa,4,50,200
342,2023-10-24,CUST342,Femenino,43,Ropa,4,500,2000
343,2023-11-01,CUST343,Masculino,21,Electrónica,2,25,50
344,2023-01-21,CUST344,Femenino,42,Belleza,1,30,30
345,2023-11-14,CUST345,Masculino,62,Electrónica,1,30,30
346,2023-02-11,CUST346,Masculino,59,Ropa,2,500,1000
347,2023-08-03,CUST347,Masculino,42,Electrónica,1,25,25
348,2023-12-03,CUST348,Femenino,35,Electrónica,2,300,600
349,2023-10-26,CUST349,Femenino,57,Belleza,1,50,50
350,2023-10-17,CUST350,Masculino,25,Belleza,3,25,75
351,2023-09-25,CUST351,Femenino,56,Ropa,3,30,90
352,2023-06-11,CUST352,Masculino,57,Electrónica,2,500,1000
353,2023-05-14,CUST353,Masculino,31,Electrónica,1,500,500
354,2023-04-15,CUST354,Femenino,49,Belleza,4,50,200
355,2023-12-09,CUST355,Femenino,55,Electrónica,1,500,500
356,2023-06-10,CUST356,Masculino,50,Electrónica,3,500,1500
357,2023-05-03,CUST357,Femenino,40,Electrónica,3,25,75
358,2023-05-16,CUST358,Femenino,32,Belleza,1,300,300
359,2023-07-22,CUST359,Masculino,50,Ropa,1,50,50
360,2023-03-09,CUST360,Masculino,42,Ropa,4,25,100
361,2023-12-10,CUST361,Femenino,34,Electrónica,4,300,1200
362,2023-11-27,CUST362,Masculino,50,Ropa,1,25,25
363,2023-06-03,CUST363,Masculino,64,Belleza,1,25,25
364,2023-08-23,CUST364,Femenino,19,Belleza,1,500,500
365,2023-06-11,CUST365,Masculino,31,Ropa,1,300,300
366,2023-02-07,CUST366,Masculino,57,Ropa,2,50,100
367,2023-01-05,CUST367,Femenino,57,Electrónica,1,50,50
368,2023-08-23,CUST368,Femenino,56,Ropa,4,300,1200
369,2023-11-15,CUST369,Masculino,23,Electrónica,3,500,1500
370,2023-10-16,CUST370,Masculino,23,Electrónica,2,30,60
371,2023-02-21,CUST371,Femenino,20,Belleza,1,25,25
372,2023-02-07,CUST372,Femenino,24,Belleza,3,500,1500
373,2023-10-03,CUST373,Femenino,25,Belleza,2,300,600
374,2023-04-20,CUST374,Femenino,59,Belleza,3,25,75
375,2023-09-17,CUST375,Masculino,32,Ropa,1,50,50
376,2023-05-16,CUST376,Femenino,64,Belleza,1,30,30
377,2023-03-09,CUST377,Femenino,46,Ropa,4,50,200
378,2023-06-28,CUST378,Masculino,50,Belleza,1,300,300
379,2023-02-05,CUST379,Femenino,47,Ropa,1,25,25
380,2023-05-06,CUST380,Masculino,56,Electrónica,2,300,600
381,2023-07-09,CUST381,Femenino,44,Ropa,4,25,100
382,2023-05-26,CUST382,Femenino,53,Ropa,2,500,1000
383,2023-03-22,CUST383,Femenino,46,Belleza,3,30,90
384,2023-08-13,CUST384,Masculino,55,Ropa,1,500,500
385,2023-10-06,CUST385,Masculino,50,Electrónica,3,500,1500
386,2023-12-27,CUST386,Femenino,54,Electrónica,2,300,600
387,2023-06-04,CUST387,Masculino,44,Belleza,1,30,30
388,2023-11-10,CUST388,Masculino,50,Electrónica,1,25,25
389,2023-12-01,CUST389,Masculino,21,Ropa,2,25,50
390,2023-09-28,CUST390,Masculino,39,Electrónica,2,50,100
391,2023-01-05,CUST391,Masculino,19,Belleza,2,25,50
392,2023-12-08,CUST392,Masculino,27,Ropa,2,300,600
393,2023-10-11,CUST393,Femenino,22,Belleza,2,500,1000
394,2023-06-03,CUST394,Femenino,27,Ropa,1,500,500
395,2023-12-06,CUST395,Masculino,50,Electrónica,2,500,1000
396,2023-02-23,CUST396,Femenino,55,Belleza,1,30,30
397,2023-03-10,CUST397,Femenino,30,Belleza,1,25,25
398,2023-05-16,CUST398,Femenino,48,Ropa,2,300,600
399,2023-03-01,CUST399,Femenino,64,Belleza,2,30,60
400,2023-02-24,CUST400,Masculino,53,Ropa,4,50,200
401,2023-10-11,CUST401,Femenino,62,Ropa,1,300,300
402,2023-03-21,CUST402,Femenino,41,Ropa,2,300,600
403,2023-05-20,CUST403,Masculino,32,Ropa,2,300,600
404,2023-05-25,CUST404,Masculino,46,Electrónica,2,500,1000
405,2023-11-06,CUST405,Femenino,25,Ropa,4,300,1200
406,2023-04-18,CUST406,Femenino,22,Belleza,4,25,100
407,2023-06-25,CUST407,Femenino,46,Electrónica,3,300,900
408,2023-04-15,CUST408,Femenino,64,Belleza,1,500,500
409,2023-12-18,CUST409,Femenino,21,Electrónica,3,300,900
410,2023-11-21,CUST410,Femenino,29,Ropa,2,50,100
411,2023-05-16,CUST411,Masculino,62,Electrónica,4,50,200
412,2023-09-16,CUST412,Femenino,19,Electrónica,4,500,2000
413,2023-09-08,CUST413,Femenino,44,Belleza,3,25,75
414,2023-05-09,CUST414,Masculino,48,Belleza,4,25,100
415,2023-01-27,CUST415,Masculino,53,Ropa,2,30,60
416,2023-02-17,CUST416,Masculino,53,Electrónica,4,500,2000
417,2023-11-21,CUST417,Masculino,43,Electrónica,3,300,900
418,2023-08-05,CUST418,Femenino,60,Electrónica,2,500,1000
419,2023-05-22,CUST419,Femenino,44,Ropa,3,30,90
420,2023-01-23,CUST420,Femenino,22,Ropa,4,500,2000
421,2023-01-02,CUST421,Femenino,37,Ropa,3,500,1500
422,2023-06-20,CUST422,Femenino,28,Ropa,3,30,90
423,2023-03-08,CUST423,Femenino,27,Ropa,1,25,25
424,2023-11-23,CUST424,Masculino,57,Belleza,4,300,1200
425,2023-05-15,CUST425,Femenino,55,Electrónica,4,30,120
426,2023-03-24,CUST426,Masculino,23,Electrónica,3,50,150
